Title,City,Company,Type,Date Posted,Experience Needed,Career Level,Education Level,Salary,Description,,,,,,,,,
Senior Technical Support Engineer ( French speaker),Cairo,Schneider Electric - Egypt,Full Time,Posted 16 days ago,Not Specified,Not specified,Not Specified,Confidential,Job SummaryWho are we and what we stand for?When you work for Schneider Electric you work for a company that is passionate about its people. Our people vision says Great people make Schneider Electric a great company. We are proud to promote purpose diversity inclusion learning and work-life integration – we’re a great place to work and we are continually striving to be the best place to work!Your MissionWe are looking for a good candidate to support all the technical inquiries r in Schneider for MEA  countries.Your Role – Magic happens when you bring great people together!-          Selection of the products complying to the customer requirements & application &  Providing Legacy cross reference-          Advising other products suiting the customer (Up selling & Cross selling)  Product Configuration  &Troubleshooting the customer issue at the site-          Guide the customer for product operation & quick start-          Provide advanced technical Support to Customers.  Ability to reply on basic requests related to equipment.-          Responsible to facilitate promotional work shops / seminars .Participate as sales support in prescribing various Products for decision makers-          Responsible of getting continuous updates from Knowledge based and inform concerned parties. Provide added value continuous improvement for the customer care . Identify sales opportunity through customer contact with a reporting through cases to sales team.-          Specifications with the relevant product / price .-          Increase the level of customer satisfaction To be measured Quarterly through survey and random calls to insure the quality of reply.About You-          Bachelor University degree in an engineering profession ( Electrical Mechatronics Renewable energy Electronics & Communications).-          Fluency in English is a must.-          Fluency in French is a must-          Professional user of Microsoft Office.-          Working with team.-          Adhering to the principals & values.-          Learning & Researching.-          Adapting and responding to changes.,,,,,,,,,
Great Schedule for an Active & Fun-loving Nanny,Alexandria,White House Nannies Inc.,Full Time,Posted 16 days ago,Not Specified,Not specified,Not Specified,Confidential,Location Chevy Chase Education Requirements No Education requirement Experience Requirements 4+ years DescriptionThis wonderful and active family in Chevy Chase is looking for enthusiastic social and engaging nanny to help keep their joyful home running smoothly. They have 4 children ages 8 (twins) 6 and 2 ½ years old. The youngest will be in preschool until 12pm and the older kids until 3pm. Key responsibilities include kids’ laundry meal prep and errands before walking to pick up the 2.5 year-old from school. When the 3 older kids get home there may be homework supervision and driving to and from activities until your end time (4:30 pm!). The kids’ schools are all walking distance from the home and a car will be provided for any activities you need to drive to. This is a wonderful role for someone playful and proactive who likes to get the kiddos out of the house. If you enjoy being around kids and value an active and nurturing environment we’d love to hear from you!Qualifications⭐️ At least 5 years of professional nannying experience⁣ ⭐️ Must be legal to work in the US ⭐️ Must be local to the DC-metro area (DC MD VA) ⭐️ Licensed driver with a clean driving record & car⁣ ⭐️ Must be COVID-Vaccinated & Boosted if eligibleWhy Work With Us Free for Job Seekers Highest Paying Jobs Benefits Ongoing Training & Support* Community,,,,,,,,,
Specialist Big Data Administrator - SWDC,Cairo,Giza Arabia Systems,Full Time,Posted 16 days ago,Not Specified,Not specified,Not Specified,Confidential,Specialist Big Data Administrator - SWDCJob Description Manage and maintain our Big Data infrastructure including HBase Elastic search and Cloudera. Perform configuration tuning and ongoing optimization of big data infrastructure and applications. Develop and implement processes for data ingestion processing and storage. Work with other members of the DevOps team to troubleshoot and resolve issues related to Big Data systems. Work with data scientists and architects to understand their infrastructure and analytics needs and provide solutions. Collaborate with Data Engineers and Data Scientists to ensure data is available and accessible for analysis. Develop and maintain documentation related to Big Data systems and processes. Stay up to date with advances in big data technologies and tools. Research and recommend new solutions as needed. Educate and train junior DevOps team members on Big Data technologies and best practices.Personal Skills Good command of English language. Excellent analytical skills. Excellent interpersonal skills. Excellent written and verbal communication skills. Ability to prioritize and organize multiple assignments/tasks. Strong problem-solving mindset. Ability to adapt to constantly changing environment.Technical Skills• Expertise in Hadoop ecosystem technologies such as HDFS Hive HBase Spark Kafka Flink and NiFi. • Experience with Hadoop-based Ecosystems like Cloudera including its different compartments like CDP CDF and CML. • Expertise in ELK Stack (Elastic Search Kibana LogStash) and administration of logging systems over them. • Knowledge of distributed computing cloud computing architectures and data processing frameworks such as Apache Spark. • Experience with data ingestion and processing tools such as Kafka and Flume. • Strong communication and collaboration skills. • Ability to train and educate junior team members on Big Data technologies and best practices. • Ability to work independently and as part of a team. • Eperties in Teradata PowerBI Server and Informatica as are a plus.EducationB.Sc. of Engineering or Computer Science or relevantJob Location Cairo Egypt Job Role Engineering Years of Experience Min: 5,,,,,,,,,
Site Reliability Engineer Specialist - SWDC,Cairo,Giza Arabia Systems,Full Time,Posted 16 days ago,Not Specified,Not specified,Not Specified,Confidential,Site Reliability Engineer Specialist - SWDCJob Description Design build and manage Linux environments from the ground up including installation configuration and optimization of systems and services. Develop and implement processes for containerization orchestration virtualization automation and monitoring of systems and services. Ensure the availability performance and security of systems and services through effective monitoring maintenance and troubleshooting. Manage and maintain databases including installation configuration and optimization of database software and systems. Implement and maintain network infrastructure including firewalls switches and routers. Develop and maintain scripts to automate routine tasks and processes. Provide technical guidance and support to junior team members. Reviews procedures user followed to determine if specified steps were taken. Explains user procedures necessary to transmit data. Reads technical reference manuals for communications hardware and software to learn cause of problem. Updates documentation to record new equipment installed new sites and changes to computer configurations. Coordinate with HCD to train staff and users to use equipment.Personal Skills Minimum 5 year’s of experience. Good command of English. Excellent analytical skills. Very good interpersonal and communication skills. Good follow-up skills. Good presentation skills.Technical Skills• Solid experience in infrastructure containerization orchestration virtualization automation monitoring scripting network and database management. • Expertise in containerization technologies such as Docker and Kubernetes. • Expertise in Containerization Orchestration such as Kubernetes rancher OpenShift. • Experience with virtualization technologies such as VMware and KVM. • Knowledge of network protocols and technologies such as TCP/IP DNS DHCP VPN and VLANs. • Experience with automation tools such as Ansible Puppet or Chef. • Experience with monitoring tools such as Nagios Zabbix or Prometheus. • Strong scripting skills in one or more languages such as Bash Python or Perl.EducationB.Sc. of Engineering or Computer Science or relevantJob Location Cairo Egypt Job Role Information Technology Years of Experience Min: 5 Residence Location Egypt,,,,,,,,,
Information Security Manager,Cairo,Antal International,Full Time,Posted 16 days ago,Not Specified,Not specified,Not Specified,Confidential,"Responsibilities:1) Direct and lead the implementation of information security projects. Establish and enforce security and privacy controls configurations policies procedures and technology. 2) Manage information security risk assessments to identify and evaluate key threats and measure the impact on our systems devices and networks. 3) Plan and direct a variety of information security assessments vulnerability assessments penetration tests and simulations aiming to identify and examine key risks.4) Evaluate and approve architectural changes and technical solutions from the information security perspective in order to comply with and implement functionalities necessary to support “security-by-design” and ""privacy-by-design"" capabilities.Requirements:10+ years of experience in information security domain including 5+ years in a managerial/leading role Educational Background: Computer Science Extensive experience in Cyber security defense programs Experience in application/vendor risk assessment Identify compliance issues brought on by different privacy audits evaluations tests and continuous program improvements efforts conducted both internally and externally English fluency is a must Information Security certification is a plus.",,,,,,,,,
Hardware Partnerships Sales Officer,Cairo,classera,Full Time,Posted 16 days ago,More than 5 years,Experienced (Non-Manager),Not Specified,Confidential,The Hardware Partnership Officer will join the Ed Tech Partnerships team to work onestablishing maintaining and growing business relationships with global and regionalhardware education technology providers like HP Lenovo Promethean BenQ JP-IK PositivoBGH and others to drive Classera’s tactical and strategic objectives align goals enhancebrand recognition increase solution value and drive growth of Classera’s business into newand existing markets using these companies programs and resources.Job functions include but not limited to the following:• Establish maintain and enhance Classera’s partnership position with hardware partners.• Define joint solution bundles and drive joint marketing programs with hardware partners todrive Classera’s business with clear metrics and ROI• Maintain a clear pipeline with each of covered hardware partner account• Maintain pipeline health and coordinate engagement of different Classera teams to driveopportunities to closure,,,,,,,,,
Technical Support Specialist,Giza,Premium Card,Full Time,Posted 16 days ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male,Confidential,,,,,,,,,
IT Administrator,Cairo,Infotech,Full Time,Posted 16 days ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,4500 to 4500 EGP Per Month Net Salary - after probation period salary will be adjusted to 5000 net,Job DescriptionWe are an export consultancy company working in the field of market research on behalf of foreign individuals and companies we provide commercial advice and cover the whole of the Middle Eastern and Northern African region. An opportunity is available to join a successful team as IT Administrator.Experience is a must and a good business sense attention to details and ambitious personality.Job tasks include:Monitoring and maintaining networks and servers.Upgrading installing and configuring new hardware and software to meet company objectives.Implementing security protocols and procedures to prevent potential threats.Creating user accounts and performing access control.Performing diagnostic tests and debugging procedures to optimize computer systems.Documenting processes as well as backing up and archiving data.Developing data retrieval and recovery procedures.Designing and implementing efficient end-user feedback and error reporting systems.Providing IT support.Keeping up to date with advancements and best practices in IT administration.,,,,,,,,,
Technical Projects Coordinator - IT Background,Cairo,Roaya,Full Time,Posted 16 days ago,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential Bonus Social Insurance Medical Insurance & Mobile Allowance,A Technical Projects Coordinator for multiple projects.Leads planning and execution of client-facing cloud-based projects Gathers and develops requirements to create and maintain a detailed project schedule and/or integrated plan. Effectively manages project contract payments and renewals. Provides project reporting to multi-stakeholders & senior management.Uses appropriate strategies and actions to overcome resistance to change and capitalize on forces in support of change during all stages of projects - concept definition planning implementation and close-out. Promotes IT standards and best practices for project management to facilitate control of system quality adherence to standard methodology and the control of the use of IT resourcesPresent promote and sell products/services using solid arguments to existing and prospective customersPerform cost-benefit and needs analysis of existing/potential customers to meet their needsEstablish develop and maintain positive business and customer relationshipsExpedite the resolution of customer problems and complaints to maximize satisfactionSupply management with reports on customer needs problems interests competitive activities and potential for new products and services.Continuously improve through feedback Handle online chats Create Invoices assessing with the Accounting department Follow with the technical Support team,,,,,,,,,
Quality Assurance Specialist,Cairo,Lychee Fruit Bar,Full Time,Posted 16 days ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,- Implement food safety & quality strategies that align to the overall business strategies and will deliver the business plan.- Investigation of customer complaints.- Provide a support base for all site quality management teams inclusive of technical regulatory and system development and implementation.- Final release of finish products.- Reviewing current specification for both raw materials and Finish products.- Sampling plan implementation.- Follow up with labs the testing methods and comparing it with clients methods.- Follow up on Non-conformists and verify that it’ comply with standards.- Implementing corporate QA compliance and contracts.- Ensure standardization of all QA processes- Guidelines and consistency and smooth delivery of rewards program.- Identify/Generate/Implement Best Practices/Tools.,,,,,,,,,
Information Security Senior Supervisor,Cairo,Xceed Contact Center,Full Time,Posted 16 days ago,5 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential Profit Share  Medical Insurance,Developing and managing the ISMS and BCMS strategic objectivesEvaluate and assist in creation of department budget and costs associated with technological training.Oversee the audits related to the information security and business continuity whether performed by organization client or third-party personnelSupervise the Business Resilience team members.Assess the company’s current technology architecture for vulnerabilities weaknesses and for possible upgrades or improvementOversee the company’s technological upgrades improvements and major changes and assess the information security and business continuity threats.Communicate new RFPs and contractual information security and business continuity requirements effectively with other department managers within the organization.Review Penetration testing findings and reporting when conducted.Review vulnerability management program outputs.Responsible for the execution monitoring of the Risk Management frameworks and BIA activities following Xceed interested parties’ needs and expectations.Maintaining the compliance against information security and business continuity related standards and regulations (ISO 22301 ISO 27001 PCI DSS and GDPR)Acting as SME in SOC operations and Incident handling.Develop disaster recovery plans for physical locations with critical assets such as data centres.Develop contingency plans to deal with organizational emergencies.Analyse impact on and risk to essential business functions or information systems to identify acceptable recovery time periods and resource requirements.Responsible to test the documented Business Continuity disaster recovery strategies and plans.Ensure IT Resources follow best practices that protect the CC operations from disturbance/interruption and to review related their disaster recovery plans. Review and manage existing disaster recovery crisis management or business continuity plans.,,,,,,,,,
IT Specialist,Cairo,Mazaya,Full Time,Posted 16 days ago,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,#NAME?,,,,,,,,,
Senior Full Stack developer (.Net & Angular),Cairo,GS - GEO Solutions,Full Time,Posted 16 days ago,4 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,A well-established software company GEO-Solutions oﬀers opening positions in development dept. to contribute to building interesting web-based applications for governmental sector such as E-Learning applications using interesting modern technologies that make real diﬀerence with audiences.Job Title:Senior Full Stack developerYears of experience:5+ years.Job Description:Design build and maintain efficient reusable and reliable web-based applications.,,,,,,,,,
Business Development Executive - Mawared Software Solutions,Giza,Arabic Localizer,Full Time,Posted 16 days ago,1 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential Commission,Acting as the main point of contact between clients and internal teams.Identify upsell cross-sell and renewal opportunities and communicate with the sales team regularlyAddressing and resolving clients’ complaints.Communicating and collaborating with other departments to ensure that key clients’ needs are met.Developing a thorough understanding of the clients' needs and requirements and preparing customized solutions.Build and strengthen client relationships to achieve long-term partnerships Maintain accurate client records keeping track of any contract updates and renewalsDevelop a thorough understanding of our products and service offerings to better upsell and cross-sell to clientsGenerate progress reports for clients and senior leaders within the organization,,,,,,,,,
Technical Support Specialist,Sharqia,hyperone,Full Time,Posted 16 days ago,0 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male,Confidential Transportations Bonus etc,,,,,,,,,
Senior Business Analyst,Cairo,Expert Apps,Full Time,Posted 16 days ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Plan and coordinate the development of primary and secondary market research studies in support of strategic planning and specific marketing initiatives as required and presents findings of studies to client committeesReview a variety of areas including operations purchasing inventory distribution and facilitiesCreate informative actionable and repeatable reporting that highlights relevant business trends and opportunities for improvementUnderstand and communicate the financial and operational impact of any changesDetermine operational objectives by studying business functions; gathering information; evaluating output requirements and formatsImprove systems by studying current practices; designing modificationsDefine project requirements by identifying project milestones phases and elements; forming project team; establishing project budgetMaintain user confidence and protect operations by keeping information confidentialPrepare technical reports by collecting analyzing and summarizing information and trendsValidate resource requirements and develop cost estimate modelsDevelop a requirements specification document using UML Technology,,,,,,,,,
Senior Software Engineer,Cairo,K Line Europe,Full Time,Posted 16 days ago,5 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Job Summary:The primary focus of this role is to contribute to transforming our Monolithic Application into a Service Oriented Architecture (SOA). The ideal candidate will have a deep understanding of SOA architecture and modern web development technologies.Roles and Responsibilities:Collaborate with cross-functional teams to analyze the existing monolithic application and design a strategy for splitting it into services.Develop deploy and maintain services using Node.js React Prisma Redux and Next.js while adhering to best scalability reliability and security practices. Create well-defined APIs ensuring proper documentation and versioning to facilitate communication between services. Identify performance bottlenecks in the existing application and optimize the newly developed services for improved speed and efficiency. Write clean maintainable code and conduct thorough testing to ensure the reliability of the services. Implement unit tests integration tests and end-to-end tests. Implement security best practices such as authentication and authorization mechanisms to protect data and ensure industry standards and regulations compliance. Documentation: Maintain detailed documentation of architectural decisions code and API specifications for future reference and team knowledge sharing. Monitoring and Troubleshooting: Implement monitoring solutions and proactive error handling to identify and resolve issues.,,,,,,,,,
Embedded Hardware Engineer - PCB Design,Cairo,TTC Technologies,Full Time,Posted 16 days ago,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Design and implement hardware of embedded devices and systems from requirements to production and commercial deployment.Assist in developing and applying test plans.Assist in product assembly (soldering SMD components.Develop a Bill of Material documents.Assist in Indicating electrical specifications of required cables and pin assignment.Integrate and test functionality with other parts of the systemPerform initial and field tests.Develop PCB Features Document and schematic/layout.Communicate with the embedded team leader to update the work daily status.Assist in identifying and resolving technical issues.Assist in writing technical documents as required.Perform other related tasks as required.,,,,,,,,,
Sales Specialist (IT Solutions),Cairo,Injaz Tech for advanced ...,Full Time,Posted 16 days ago,3 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential Commissions,Day to day normal sales funnel (target calls-visits).Meet with potential clients and grow long-lasting relationships that address their needsPreparing periodic reports about the account performance updates& relationship.Developing new sales opportunities.Preparing reports on the status of accounts.Tracking account targets.Developing positive relationships and handling customers' needsGenerating new sales using existing and potential customer networks. Resolve conflicts and provide solutions to customers in a timely manner.Report on the status of accounts and transactions weekly-monthly-quarterly.Monitor sales metrics (e.g. quarterly sales results and annual forecasts)Suggest actions to improve sales performance and identify opportunities for growthMust have experience in dealing with it or technical sales questions and detailsPreferred  experience of sales details of:CcnaMcsaHCI and data centerlight currentNetworks,,,,,,,,,
IT Engineer,Giza,SE Wiring Systems EGYPT,Full Time,Posted 16 days ago,0 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male,Confidential,,,,,,,,,
Senior UI Developer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Build interactive responsive flexible and modern UI.Ensure applying the technical specs of the UX designs .Provide ongoing support to the website on development staging and production environments .Participate in sprint planning and discussions. Develop across multiple browsers platforms and devices including smartphones and tablets.,,,,,,,,,
UI Developer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 1 year,Experienced (Non-Manager),Bachelor's Degree,Confidential,Build interactive responsive flexible and modern UIEnsure applying the technical specs of the UX designsProvide ongoing support to the website on development staging and production environmentsParticipate in sprint planning and discussionsDevelop across multiple browsers platforms and devices including smartphones and tablets.,,,,,,,,,
Senior UI/UX Designer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 4 years,Experienced (Non-Manager),Not Specified,Confidential,Design user interface for web and mobile applications.Rapid prototyping of design concept and user interface.Translate concepts into wire-frames and mock-ups that lead to intuitive and friendly user experiences.Creates template pages and interface screens.Identify UI/UX problems and recommend effective solutions.Other duties as assigned.,,,,,,,,,
UI/UX Designer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 2 years,Experienced (Non-Manager),Not Specified,Confidential,Design user interface for web and mobile applications.Rapid prototyping of design concept and user interface.Translate concepts into wire-frames and mock-ups that lead to intuitive and friendly user experiences.Creates template pages and interface screens.Identify UI/UX problems and recommend effective solutions.Other duties as assigned.,,,,,,,,,
Software Business Analyst,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 1 year,Experienced (Non-Manager),Bachelor's Degree,Confidential,Assisting with the business case Planning and monitoring Eliciting requirements Requirements organization Translating and simplifying requirements Requirements management and communication Requirements analysis,,,,,,,,,
Senior Software Business Analyst,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyzes Business Domain documents its processes and systems.Planning and Monitoring Business.Eliciting Validating and Organizing Requirements.Maintaining testing and improving business and systems operations.Identifying and capitalizing on improvement opportunities.Evaluating the performance of project teams to ensure that targets and deadlines are met.Communicating ideas and viewpoints to senior management.Create and maintain issue logs meeting minutes meeting schedules project summaries and updates.Supervising the design of new products and evaluating how these will perform on the market.Develop and execute test plans,,,,,,,,,
Senior Software Quality Control Engineer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,• Meeting with Development Managers to discuss software specifications and controls.• Using the software as intended to analyze its functional properties.• Designing test procedures to evaluate each software product.• Building coding and implementing software evaluation test programs.• Running test programs to ensure that testing protocols evaluate the software correctly.• Tweaking the software testing systems for maximum performance.• Finalizing and documenting testing procedures.• Completing final tests and creating test reports.• Presenting test reports to management and suggesting software fixes.• Executing test scripts and reviewing results.• Reporting and documenting technical issues.• Review and analyze system specifications.• Execute test cases (manual or automated) and analyze results.• Evaluate product code according to specifications.• Report bugs and errors to development teams.• Conduct post-release/ post-implementation testing.• Work with cross-functional teams to ensure quality throughout the software development life-cycle.,,,,,,,,,
Software Tester / Quality Control Engineer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Using the software as intended to analyze its functional properties.Designing test procedures to evaluate each software product.Running test programs to ensure that testing protocols evaluate the software correctly.Tweaking the software testing systems for maximum performance.Finalizing and documenting testing procedures.Completing final tests and creating test reports.Presenting test reports to management and suggesting software fixes.Reporting and documenting technical issues.Review and analyze system specifications.Execute test cases (manual or automated) and analyze results.Evaluate product code according to specifications.Report bugs and errors to development teams.Conduct post-release/ post-implementation testing.Work with cross-functional teams to ensure quality throughout the software development life-cycle.,,,,,,,,,
Senior ARC GIS Developer,Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 3 years,Experienced (Non-Manager),Not Specified,Confidential,We are seeking an experienced ARC GIS developer with expertise in Dojo and Oracle to join our team. As an ARC GIS Developer you will be responsible for designing developing and maintaining GIS applications and solutions leveraging the ARC GIS platform along with the Dojo toolkit and Oracle database. Your primary focus will be on creating dynamic and interactive user interfaces using Dojo integrating it with ARC GIS functionalities and ensuring seamless integration with Oracle for geospatial data management.Responsibilities:Develop GIS applications: design code test debug and deploy GIS applications using the ARC GIS platform with a strong emphasis on utilising the Dojo toolkit for creating user interfaces and Oracle for data management.Dojo integration: Integrate the Dojo toolkit with ARC GIS functionalities to develop interactive and visually appealing user interfaces for GIS applications.Custom application development: Create custom tools scripts and workflows using Dojo to enhance GIS functionality and automate processes.Geospatial analysis: Perform complex spatial analysis geoprocessing tasks and data modelling using ARC GIS tools and libraries while leveraging Dojo for visualisations and user interactions.Data management with Oracle: Manage geospatial data in Oracle including data acquisition integration transformation and quality assurance ensuring effective integration with ARC GIS.Collaborate with stakeholders: work closely with clients GIS analysts and other team members to gather requirements understand project objectives and deliver solutions that meet business needs.Documentation: Prepare technical documentation including system specifications user manuals and test plans specifically highlighting the Oracle integration aspects.Troubleshooting and support: Investigate and resolve issues related to GIS applications provide technical support and perform system maintenance tasks with expertise in both ARC GIS Dojo and Oracle.Stay updated with industry trends: Keep abreast of the latest GIS technologies Dojo toolkit advancements Oracle database capabilities tools and best practises and evaluate their potential for implementation.,,,,,,,,,
Senior Full Stack Developer (Asp.net Core– Angular),Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,We are looking for an ASP.NET Core and angular developer to be responsible for designing applications. The responsibilities of ASP.NET include writing code designing solutions for applications and improving functionality.You should demonstrate excellent problem-solving skills high-quality coding skills and the ability to manage your time efficiently with a keen eye for detail and work independently.,,,,,,,,,
Full Stack (.Net Developer),Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Developing new software applications.Working closely with business analysts designers and quality control.Reviewing current systems and Presenting ideas for system improvement.Combining all elements of the program design.Reacting to problems and correcting the program as necessary.Adapting the program to new requirements as necessary.Is competent in all or some stages of the systems development life cycle – analysis design development and testing implementation documentation and evaluation.Revises software code to make it more efficient and be able to detect bugs in the code.Demonstrates the initiative and method for solving different problems and propose effective solutions for those problems.Tests their own code before sending it to QC.,,,,,,,,,
Senior Full Stack (.Net Developer),Dakahlia,qTech.,Full Time,Posted 16 days ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Developing new software applications.Working closely with business analysts designers and quality control.Reviewing current systems and Presenting ideas for system improvement.Combining all elements of the program design.Reacting to problems and correcting the program as necessary.Adapting the program to new requirements as necessary.Is competent in all or some stages of the systems development life cycle – analysis design development and testing implementation documentation and evaluation.Revises software code to make it more efficient and be able to detect bugs in the code.Demonstrates the initiative and method for solving different problems and propose effective solutions for those problems.Tests their own code before sending it to QC.,,,,,,,,,
Flutter Developer,Cairo,ElMotaheda Web,Full Time,Posted 17 days ago,More than 2 years,Experienced (Non-Manager),Not Specified,Confidential,Building multi-platform applications for Android and iOS using the Flutter development framework of Google.Writing clear and reader-friendly code using tools like Dart. Documenting the entire usage process in detail for straightforward utilization and upgrading in the future.Collaborating with other developers to create deploy and maintain Flutter-based applications for different platforms.Writing and reviewing multi-application codes.Overseeing and reviewing application design.Building implementing and managing product modules along with their sub-systems.Testing products to remove bugs and any malfunctioning aspects.Carrying out unit testing and integration analysis.Ensuring consistency between the delivered product features and the requirements/criteria of the business.,,,,,,,,,
Master Data Analyst,Cairo,Johnson & Johnson,Full Time,Posted 17 days ago,Not Specified,Not specified,Not Specified,Confidential,For the KSA J&J MedTech Supply Chain Organization we are looking for a  Master Data Analyst  to be located in New Cairo (Egypt).  With the scope of increase the strategic vision of PLAN organization the Master Data Analyst will be responsible for executing of base business activities related to sku conversions enabling KSA business mission as a Launch & Growth site by keeping focus and alignment both on the creation of new Launch SKUs and the conversion of existing SKUs.  The person will be part of the Master Data team and will report to the PLAN Supervisor.  Main elements of focus are:  ·       Execute base business activities respecting the procedures  ·       Issue resolution to ensure codes are activated through collaboration with internal and external stakeholders.  ·       Clean SKU data mainteinance to avoid any delay/blockage in order process & product receiving shipment.  ·       Lead all master data activities to meet local market requirements.   ·       Guarantee steps execution in pipeline according to the planning date  ·       Ensure to respect quality and compliance of the activities of whose will be responsible  ·       Collaborate with the stakeholders in terms of increase productivity/readiness of the base business in master data department  ·       Escalate issue according performance management (daily/weekly/monthly),,,,,,,,,
Web developer,Cairo,Cryptostart,Full Time,Posted 17 days ago,Not Specified,Not specified,Not Specified,Confidential,active 9 hours ago Actively looking Current Location: Hurgada Egypt ???? ExperienceWeb developer TeleMaks June 2019 to January 2023 (3 yrs 7 mos) ▪️ Full-time ▪️ Krasnodar Russia Javascript Python SQL HTML CSS Translation of the site hitel.ru to a single-page application (SPA) pure JavaScript on the Python / Django framework. Creation of a personal cabinet for clients allows customers to: - manage... Internet TV and telephony services - view financial details - view the details of Internet traffic and calls - integration with billing accounting system Integration 1C Enterprise Accounting 3.0 with: - LanBilling2 billing via API SOAP - 1C Document flow implementation of BID with modifications - IP telephony (MIKO telephony panel) - Telegram messenger. Participation in group development. see more Confirm Delete You will not be able to recover any information once deleted.Edit ExperiencePlease check the date entered  Javascript Python SQL HTML CSS Translation of the site hitel.ru to a single-page application (SPA) pure JavaScript on the Python / Django framework. Creation of a personal cabinet for clients allows customers to: - manage Internet TV and telephony services - view financial details - view the details of Internet traffic and calls - integration with billing accounting system Integration 1C Enterprise Accounting 3.0 with: - LanBilling2 billing via API SOAP - 1C Document flow implementation of BID with modifications - IP telephony (MIKO telephony panel) - Telegram messenger. Participation in group development. Add Experience Add Education & Certificates,,,,,,,,,
Information Management & Performance Reporting Officer NOA,Cairo,World Food Program - Other Locations,Full Time,Posted 17 days ago,Not Specified,Not specified,Not Specified,Confidential,JOB PURPOSETo support all Operational Information Management and Performance Reporting (OIM & PR) activities and contribute to the establishment and presentation of standard operating picture of WFP programme portfolio and associated results that facilitate informed and timely decision-making at all levels throughout the organisation.To support all Operational Information Management and Performance Reporting (OIM & PR) activities and contribute to the establishment and presentation of standard operating picture of WFP programme portfolio and associated results that facilitate informed and timely decision-making at all levels throughout the organisation. KEY ACCOUNTABILITIES (not all-inclusive)1.Support staff in assigned area to ensure that standard OIM & PR procedures and templates are followed to drive the quality consistency and standardization of information management and performance reporting across WFP.2. Collate relevant information and data from media and local internal and external sources to facilitate and maximize the exchange of information and data flow between functional area networks in WFP to provide operational awareness and understanding of events that may have humanitarian and/or operational impact.3. Support the collation and dissemination of political and humanitarian analysis pertaining to WFP current or future responses and donor policies trends and preferences to ensure country specific input to WFP’s operational reporting.4. Support the collation analysis and communication of the ‘Essential Elements of Information’ pertaining to the operational environment and available human financial and physical assets in order to facilitate access to timely and accurate information used at country regional and corporate level.5. Lead the preparation of Annual Corporate Report (ACR) for the Annual Reporting Exercise in collaboration with the country office programme monitoring & evaluation logistics and resource management functions by coordinating to ensure coherence and quality of performance information.6. Collaborate with counterparts internally to ensure consistency in humanitarian information and to complement WFP analysis and information.7. Support the enhancement of the capacity of WFP staff and partners to effectively manage operational information and performance reporting for example through scheduling the delivery of the OIM & PR training on core competencies.8. Support COs or RBs in emergencies by preparing organizing and providing secretarial support to Operational Task Forces (OTFs).,,,,,,,,,
